id	question	answer	published	user_id
1	지구의 평균 반경은 얼마인가요?	지구의 평균 반경은 약 6,371km입니다.	Y	user1
2	물의 끓는점은 몇 도인가요?	물의 끓는점은 100도 섭씨입니다. (해수면 기준)	Y	user2
3	태양계에서 가장 큰 행성은 무엇인가요?	태양계에서 가장 큰 행성은 목성입니다.	Y	user3
4	빛의 속도는 얼마인가요?	빛의 속도는 약 299,792,458 m/s입니다.	Y	user4
5	인간의 평균 체온은 몇 도인가요?	인간의 평균 체온은 약 36.5~37도 섭씨입니다.	Y	user5
6	피라미드의 나라로 알려진 곳은 어디인가요?	피라미드로 유명한 나라는 이집트입니다.	Y	user6
7	인류 최초로 달에 착륙한 사람은 누구인가요?	닐 암스트롱은 1969년에 아폴로 11호로 달에 착륙했습니다.	Y	user7
8	대서양과 태평양을 연결하는 운하는 무엇인가요?	대서양과 태평양을 연결하는 운하는 파나마 운하입니다.	Y	user8
9	피카소는 어떤 예술 분야에서 유명한가요?	피카소는 입체파 회화로 유명합니다.	Y	user9
10	세계에서 가장 큰 사막은 무엇인가요?	세계에서 가장 큰 사막은 사하라 사막입니다.	Y	user10
11	1년은 몇 주인가요?	1년은 약 52주입니다.	Y	user11
12	피타고라스의 정리는 무엇인가요?	직각삼각형에서 빗변의 제곱은 나머지 두 변의 제곱의 합과 같습니다.	Y	user12
13	가장 가까운 별은 무엇인가요?	지구에서 가장 가까운 별은 태양입니다.	Y	user13
14	바다에서 가장 깊은 곳은 어디인가요?	마리아나 해구의 챌린저 딥이 가장 깊은 곳입니다.	Y	user14
15	세계에서 가장 큰 대륙은 무엇인가요?	세계에서 가장 큰 대륙은 아시아입니다.	Y	user15
16	빅벤은 어느 도시에 있나요?	빅벤은 영국 런던에 위치한 시계탑입니다.	Y	user16
17	물리학에서 뉴턴의 제1법칙은 무엇인가요?	뉴턴의 제1법칙은 관성의 법칙으로, 외부 힘이 가해지지 않으면 물체는 정지 상태를 유지하거나 일정한 속도로 직선 운동을 계속한다는 것입니다.	Y	user17
18	피카소의 국적은 무엇인가요?	피카소는 스페인 출신의 예술가입니다.	Y	user18
19	가장 높은 산은 무엇인가요?	세계에서 가장 높은 산은 에베레스트 산입니다.	Y	user19
20	피타고라스는 어떤 학문에서 유명한가요?	피타고라스는 수학과 철학에서 유명합니다.	Y	user20
21	미국의 수도는 어디인가요?	미국의 수도는 워싱턴 D.C.입니다.	Y	user21
22	DNA는 무엇의 약자인가요?	DNA는 Deoxyribonucleic Acid(디옥시리보핵산)의 약자입니다.	Y	user22
23	인간의 평균 심박수는 얼마인가요?	인간의 평균 심박수는 분당 약 60~100회입니다.	Y	user23
24	가장 작은 행성은 무엇인가요?	태양계에서 가장 작은 행성은 수성(머큐리)입니다.	Y	user24
25	전 세계에서 가장 많이 사용되는 언어는 무엇인가요?	전 세계에서 가장 많이 사용되는 언어는 중국어입니다.	Y	user25
26	아마존 강은 어느 대륙에 있나요?	아마존 강은 남아메리카에 위치해 있습니다.	Y	user26
27	가장 작은 대륙은 무엇인가요?	가장 작은 대륙은 오세아니아입니다.	Y	user27
28	최초로 인류가 발명한 도구는 무엇인가요?	돌도끼와 같은 석기 도구가 최초로 발명된 도구입니다.	Y	user28
29	해리포터 시리즈를 쓴 작가는 누구인가요?	해리포터 시리즈의 작가는 J.K. 롤링입니다.	Y	user29
30	온실 효과는 무엇인가요?	온실 효과는 대기 중 온실가스가 지구의 열을 가두는 현상입니다.	Y	user30
31	가장 긴 강은 무엇인가요?	세계에서 가장 긴 강은 나일 강입니다.	Y	user31
32	플라잉 피시라고 불리는 물고기는 무엇인가요?	날치라고 불리는 물고기는 플라잉 피시입니다.	Y	user32
33	인간의 가장 큰 기관은 무엇인가요?	인간의 가장 큰 기관은 피부입니다.	Y	user33
34	기린의 목뼈 개수는 몇 개인가요?	기린의 목뼈는 인간과 동일하게 7개입니다.	Y	user34
35	세계에서 가장 큰 호수는 무엇인가요?	세계에서 가장 큰 호수는 카스피해입니다.	Y	user35
36	인류가 최초로 발명한 교통수단은 무엇인가요?	바퀴는 인류가 발명한 최초의 교통수단입니다.	Y	user36
37	가장 긴 동물은 무엇인가요?	가장 긴 동물은 대왕오징어입니다.	Y	user37
38	로마 제국의 첫 황제는 누구인가요?	로마 제국의 첫 황제는 아우구스투스(옥타비아누스)입니다.	Y	user38
39	가장 큰 행성은 무엇인가요?	태양계에서 가장 큰 행성은 목성입니다.	Y	user39
40	해리포터의 친구 중 하나로, 빨간 머리를 가진 캐릭터는 누구인가요?	론 위즐리는 해리포터의 절친한 친구입니다.	Y	user40
41	세계에서 가장 높은 폭포는 무엇인가요?	세계에서 가장 높은 폭포는 앙헬 폭포입니다.	Y	user41
42	피카소가 창시한 예술 양식은 무엇인가요?	피카소는 입체파 예술 양식을 창시했습니다.	Y	user42
43	가장 큰 바다는 무엇인가요?	가장 큰 바다는 태평양입니다.	Y	user43
44	가장 큰 섬은 무엇인가요?	세계에서 가장 큰 섬은 그린란드(덴마크령)입니다.	Y	user44
45	가장 빠른 동물은 무엇인가요?	가장 빠른 동물은 치타입니다.	Y	user45
46	인간의 평균 수면 시간은 얼마인가요?	성인의 평균 수면 시간은 약 7~9시간입니다.	Y	user46
47	최초로 발명된 전구의 발명가는 누구인가요?	최초로 발명된 전구의 발명가는 토머스 에디슨입니다.	Y	user47
48	가장 큰 나라는 무엇인가요?	러시아는 세계에서 가장 큰 나라입니다.	Y	user48
49	포유류 중 유일하게 날 수 있는 동물은 무엇인가요?	포유류 중 유일하게 날 수 있는 동물은 박쥐입니다.	Y	user49
50	가장 작은 새는 무엇인가요?	벌새는 세계에서 가장 작은 새입니다.	Y	user50
51	세계에서 가장 추운 곳은 어디인가요?	세계에서 가장 추운 곳은 남극 대륙입니다.	Y	user51
52	최초로 발명된 전화기의 발명가는 누구인가요?	알렉산더 그레이엄 벨이 최초의 전화기를 발명했습니다.	Y	user52
53	가장 긴 철도는 무엇인가요?	가장 긴 철도는 시베리아 횡단철도입니다.	Y	user53
54	가장 큰 꽃은 무엇인가요?	라플레시아는 세계에서 가장 큰 꽃입니다.	Y	user54
55	가장 오래된 문명은 무엇인가요?	가장 오래된 문명 중 하나는 메소포타미아 문명입니다.	Y	user55
56	가장 빠른 새는 무엇인가요?	칼새는 세계에서 가장 빠른 새입니다.	Y	user56
57	세계에서 가장 높은 나무는 무엇인가요?	세계에서 가장 높은 나무는 레드우드입니다.	Y	user57
58	가장 작은 대양은 무엇인가요?	북극해는 세계에서 가장 작은 대양입니다.	Y	user58
59	가장 큰 빙하는 무엇인가요?	가장 큰 빙하는 남극의 람베르트 빙하입니다.	Y	user59
60	가장 큰 호수는 무엇인가요?	카스피해는 세계에서 가장 큰 호수입니다.	Y	user60
61	가장 깊은 바다는 무엇인가요?	가장 깊은 바다는 마리아나 해구의 챌린저 딥입니다.	Y	user61
62	가장 긴 해안선을 가진 나라는 무엇인가요?	가장 긴 해안선을 가진 나라는 캐나다입니다.	Y	user62
63	가장 오래된 나무는 무엇인가요?	가장 오래된 나무는 메토세콰이아입니다.	Y	user63
64	세계에서 가장 큰 박물관은 무엇인가요?	세계에서 가장 큰 박물관은 루브르 박물관입니다.	Y	user64
65	가장 오래된 책은 무엇인가요?	가장 오래된 책 중 하나는 "에픽 오브 길가메시"입니다.	Y	user65
66	가장 큰 공항은 무엇인가요?	세계에서 가장 큰 공항은 킹 파흐드 국제공항입니다.	Y	user66
67	가장 빠른 차는 무엇인가요?	가장 빠른 차는 부가티 시론 슈퍼 스포츠 300+입니다.	Y	user67
68	가장 작은 포유류는 무엇인가요?	가장 작은 포유류는 박쥐의 일종인 키티돼지코박쥐입니다.	Y	user68
69	가장 큰 해양 포유류는 무엇인가요?	가장 큰 해양 포유류는 대왕고래입니다.	Y	user69
70	세계에서 가장 긴 다리는 무엇인가요?	세계에서 가장 긴 다리는 단양-쿤산 대교입니다.	Y	user70
71	가장 큰 새는 무엇인가요?	가장 큰 새는 타조입니다.	Y	user71
72	가장 큰 산맥은 무엇인가요?	가장 큰 산맥은 히말라야 산맥입니다.	Y	user72
73	가장 큰 동굴은 무엇인가요?	가장 큰 동굴은 손동 동굴입니다.	Y	user73
74	가장 높은 빌딩은 무엇인가요?	세계에서 가장 높은 빌딩은 부르즈 할리파입니다.	Y	user74
75	가장 빠른 인터넷 속도를 가진 나라는 무엇인가요?	가장 빠른 인터넷 속도를 가진 나라는 싱가포르입니다.	Y	user75
76	가장 큰 동물은 무엇인가요?	가장 큰 동물은 대왕고래입니다.	Y	user76
77	가장 오래된 도시 중 하나는 무엇인가요?	가장 오래된 도시 중 하나는 다마스쿠스입니다.	Y	user77
