질문	필수 포함 text	검색된 text 1	검색된 text 2	검색된 text 3	정답 포함 여부	속도
1	지구의 평균 반경은 얼마인가요?	지구의 평균 반경은 약 6,371km입니다.
2	물의 끓는점은 몇 도인가요?	물의 끓는점은 100도 섭씨입니다.
3	태양계에서 가장 큰 행성은 무엇인가요?	태양계에서 가장 큰 행성은 목성입니다.
4	빛의 속도는 얼마인가요?	빛의 속도는 약 299,792,458 m/s입니다.
5	인간의 평균 체온은 몇 도인가요?	인간의 평균 체온은 약 36.5도 섭씨입니다.
6	피라미드의 나라로 알려진 곳은 어디인가요?	피라미드로 유명한 나라는 이집트입니다.
7	인류 최초로 달에 착륙한 사람은 누구인가요?	인류 최초로 달에 착륙한 사람은 닐 암스트롱입니다.
8	대서양과 태평양을 연결하는 운하는 무엇인가요?	대서양과 태평양을 연결하는 운하는 파나마 운하입니다.
9	피카소는 어떤 예술 분야에서 유명한가요?	피카소는 주로 회화에서 유명합니다.
10	세계에서 가장 큰 사막은 무엇인가요?	세계에서 가장 큰 사막은 사하라 사막입니다.
11	1년은 몇 주인가요?	1년은 약 52주입니다.
12	피타고라스의 정리는 무엇인가요?	피타고라스의 정리는 직각삼각형의 빗변 길이 제곱이 두 다른 변의 제곱의 합과 같다는 이론입니다.
13	가장 가까운 별은 무엇인가요?	지구에서 가장 가까운 별은 태양입니다.
14	바다에서 가장 깊은 곳은 어디인가요?	바다에서 가장 깊은 곳은 마리아나 해구입니다.
15	세계에서 가장 큰 대륙은 무엇인가요?	세계에서 가장 큰 대륙은 아시아입니다.
16	빅벤은 어느 도시에 있나요?	빅벤은 런던에 있습니다.
17	물리학에서 뉴턴의 제1법칙은 무엇인가요?	뉴턴의 제1법칙은 관성의 법칙으로, 외부 힘이 가해지지 않으면 물체는 정지 상태를 유지하거나 일정한 속도로 직선 운동을 계속한다는 것입니다.
18	미국의 수도는 어디인가요?	미국의 수도는 워싱턴 D.C.입니다.
19	DNA는 무엇의 약자인가요?	DNA는 Deoxyribonucleic Acid의 약자입니다.
20	가장 오래된 문명은 무엇인가요?	메소포타미아
21	가장 빠른 새는 무엇인가요?	칼새
22	세계에서 가장 높은 나무는 무엇인가요?	레드우드
23	가장 작은 대양은 무엇인가요?	북극해
24	가장 큰 빙하는 무엇인가요?	람베르트 빙하
25	가장 큰 호수는 무엇인가요?	카스피해
26	가장 깊은 바다는 무엇인가요?	마리아나 해구
27	가장 긴 해안선을 가진 나라는 무엇인가요?	캐나다
28	가장 오래된 나무는 무엇인가요?	메토세콰이아
29	세계에서 가장 큰 박물관은 무엇인가요?	루브르
30	가장 오래된 책은 무엇인가요?	에픽 오브 길가메시
31	가장 큰 공항은 무엇인가요?	킹 파흐드
32	가장 빠른 차는 무엇인가요?	부가티
33	가장 작은 포유류는 무엇인가요?	키티돼지코박쥐
34	가장 큰 해양 포유류는 무엇인가요?	대왕고래
35	대왕고래는 가장 큰 동물인가요?	가장 큰 동물은 대왕고래입니다.
36	라플레시아에 대해 알려줘	가장 큰 꽃
37	피카소는 어디에서 자랐어?	스페인
38	호그와트로 어떻게 가?	9와 3/4 플랫폼에서 출발
39	바티칸에 몇 명이 살고 있어?	800명
40	빈센트 반 고흐의 유명한 그림은 뭐야?	별이 빛나는 밤
41	플라잉 피시가 뭐야?	날치
42	인간의 가장 큰 기관은 무엇인가요?	인간의 가장 큰 기관은 피부입니다.
43	기린의 목뼈 개수는 몇 개인가요?	기린의 목뼈 개수는 7개입니다.
44	세계에서 가장 큰 호수는 무엇인가요?	세계에서 가장 큰 호수는 카스피해입니다.
45	인류가 최초로 발명한 교통수단은 무엇인가요?	인류가 최초로 발명한 교통수단은 바퀴입니다.
46	가장 긴 동물은 무엇인가요?	가장 긴 동물은 대왕오징어입니다.
47	인간의 평균 수면 시간은 얼마인가요?	인간의 평균 수면 시간은 약 7~8시간입니다.
48	최초로 발명된 전구의 발명가는 누구인가요?	최초로 발명된 전구의 발명가는 토머스 에디슨입니다.
49	아우구스투스	로마 제국의 첫 황제
50	가장 긴 철도는 무엇인가요?	시베리아 횡단철도
51	삼성전자의 기업명인 '삼성'은 무슨 뜻인가요?	크고, 밝게, 빛나는 3개의 별
52	삼성이 휴대폰 부문에서 모토로라를 누르고 세계 2위의 핸드폰 제조업체로 등제된 년도가 언제 인가요?	2007년
53	삼성전자의 백혈병 발병 노동자 황유미와 그 가족의 이야기를 담은 영화 이름이 무엇 인가요?	또 하나의 약속
54	미국 포브스지가 발표한 2013년 '세계 브랜드 가치' 순위에서 삼성은 몇 위 인가요?	8위
55	삼성전자의 자본금은 얼마인가요?	8975억 원
56	삼성전자의 지사는 몇 개 인가요?	230개
57	신한은행은 언제 설립되었나요?	1982년 7월 7일
58	신한은행의 주요 업무는 무엇인가요?	예금, 대출, 외환, 투자 등의 각종 금융 서비스
59	신한은행의 2021년 말 기준 총자산은 얼마인가요?	552.6조원
60	신한은행은 몇 개국에서 글로벌 네트워크를 운영하고 있나요?	20개국
61	신한은행은 어떤 정신을 바탕으로 설립되었나요?	재일동포들의 애국심과 금융보국 정신을 바탕.
62	신한은행 창업 당시 자본금은 얼마였나요?	250억 원
63	신한은행은 조흥은행과 언제 합병했나요?	2006년 4월 1일
64	신한은행의 창립자	이희건
65	신한은행의 핵심 인물은 누구 인가요?	정상혁
66	카카오뱅크는 어떤 은행인가요?	대한민국의 두 번째 인터넷 전문은행
67	카카오뱅크의 출범 후 3개월 동안 수신규모는 얼마였나요?	4조 2천억 원
68	카카오뱅크의 출범 후 3개월 동안 여신규모는 얼마였나요?	3조 3,900억 원
69	(주)카카오는 카카오뱅크의 최대주주가 된 시점은 언제인가요?	2019년 11월 22일
70	카카오뱅크는 상호를 언제 변경했나요?	2020년 6월 1일
71	카카오뱅크의 카뱅미니는 언제 출시되었나요?	2020년 10월 19일
72	카카오뱅크의 신용카드는 언제 출시되었나요?	2020년 4월 27일
73	카카오뱅크는 전산 시스템에 어떤 운영체제를 도입했나요?	리눅스
74	카카오뱅크의 해외 송금과 환전은 어떤 은행과 제휴했나요?	한국씨티은행
75	카카오뱅크의 슬로건은 무엇인가요?	같지만 다른 은행
76	카카오뱅크의 모기업은 어디인가요?	(주)카카오
77	카카오톡은 어떤 기능을 제공하나요?	채팅, 보이스톡
78	카카오뮤직은 어떤 기능을 제공하나요?	음악 듣기, 다운 받기, 공유하기
79	카카오페이지는 어떤 콘텐츠를 제공하나요?	만화 등 웹툰, 웹소설
80	김범수 이사회 의장의 영어 이름은 무엇인가요?	브라이언
81	카카오의 여성 관리자 비율은 2021년 기준 얼마인가요?	28.60%
82	카카오 본사는 어디에 있나요?	제주
83	다음과 카카오는 언제 합병을 발표했나요?	2014년 5월
84	(주)다음카카오는 언제 사명을 (주)카카오로 변경했나요?	2015년 10월 1일
85	카카오의 이전 상호명은 무엇인가요?
86	카카오의 자본금은 얼마인가요?	446억4059만9000원
87	KB국민은행은 언제 설립되었나요?	2001년 11월 1일
88	KB국민은행은 어느 그룹의 계열사인가요?	KB금융그룹
89	KB국민은행은 언제 KB국민은행으로 브랜드를 변경했나요?	2002년 10월 1일
90	KB국민은행은 어떤 사업부문을 KB국민카드로 분할했나요?	신용카드 사업부문
91	KB국민은행의 국내 영업점 수는 몇 개인가요?	797개
92	KB국민은행의 일본 지점은 어디에 있나요?	KB국민은행 동경지점
93	KB국민은행의 슬로건은 무엇인가요?	최고의 인재와 담대한 혁신으로 가장 신뢰받는 평생금융파트너
94	네이버는 언제 출시되었나요?	1999년 6월
95	네이버는 언제 TV 광고를 처음 선보였나요?	2000년 2월
96	네이버의 서비스는 어떤 카테고리로 나뉘어지나요?	검색, 사전, 커뮤니티, 뉴스, 생활, 문화, 쇼핑, 웹툰, 지도
97	네이버페이는 어떤 서비스인가요?	은행 계좌나 체크카드, 또는 신용카드를 미리 등록해 두고 등록한 결제 수단을 통해 결제하는 간편 결제 서비스
98	지식iN은 언제 정식 서비스를 시작했나요?	2002년 10월
99	네이버 카페는 언제 서비스를 개시했나요?	2003년 12월
100	네이버 알고리즘 조작 사건에 대해 알려줘.	네이버가 쇼핑, 동영상 분야에서 검색 알고리즘을 조작하여 자사 서비스를 우선 노출시킨 혐의
최종 결과						(true 개수)	(평균 속도)
